window_id,new_dominant_prototype,new_residual,new_drift_score,updated_policy,prototype_memory_action,dominant_prototype_stability,memory_event
0,zipfian_smallints,0.5071577134152597,0.04672451463556528,hybrid,retain,0.49338978145786627,activate
1,zipfian_smallints,0.49160806615333597,0.08583429045703642,hybrid,retain,0.49338978145786627,reuse
2,clustered_ranges,0.5235714388974095,0.09117977743873412,hybrid,retain,0.41840979002848827,activate
3,sequential_ids,0.5139456781535947,0.08337895347444457,hybrid,refresh,0.38084645871650274,recover
4,zipfian_smallints,0.511564411291927,0.007142209007216682,hybrid,retain,0.49338978145786627,activate
5,zipfian_smallints,0.4640164391821349,0.056481367285360226,hybrid,retain,0.49338978145786627,reuse
6,uniform_32bit,0.4662428874386658,0.1547470655617198,hybrid,retain,0.5755958386992479,activate
7,uniform_32bit,0.43670844421533783,0.12841391772957406,hybrid,retain,0.5755958386992479,reuse
8,clustered_ranges,0.4632557485007112,0.08813765325525028,hybrid,retain,0.41840979002848827,activate
9,uniform_32bit,0.5093111165679639,0.11556132898964275,hybrid,retain,0.5755958386992479,activate
10,zipfian_smallints,0.4625637463875781,0.05688241036677164,hybrid,retain,0.49338978145786627,activate
11,sequential_ids,0.5228987940628577,0.07043478375591926,hybrid,refresh,0.38084645871650274,recover
12,clustered_ranges,0.4233356392998259,0.034027385699919435,hybrid,retain,0.41840979002848827,activate
13,clustered_ranges,0.5048580372026882,0.08712128680352826,hybrid,retain,0.41840979002848827,reuse
14,uniform_32bit,0.45863736768317326,0.08792698455383571,hybrid,retain,0.5755958386992479,activate
15,zipfian_smallints,0.5112795196983668,0.06453267301398807,hybrid,retain,0.49338978145786627,activate
16,uniform_32bit,0.4469037029466674,0.06184730767174641,hybrid,retain,0.5755958386992479,activate
17,clustered_ranges,0.4609131053000835,0.02020801772054802,hybrid,retain,0.41840979002848827,activate
18,zipfian_smallints,0.4565298829898638,0.08062470593638438,hybrid,retain,0.49338978145786627,activate
19,uniform_32bit,0.5040373329452954,0.10232655880149721,hybrid,retain,0.5755958386992479,activate
20,uniform_32bit,0.4750757257745288,0.05883508439779231,hybrid,retain,0.5755958386992479,reuse
21,uniform_32bit,0.47601408945468004,0.0043667216979014906,hybrid,retain,0.5755958386992479,reuse
22,clustered_ranges,0.4138650193822799,0.030137658619925914,hybrid,retain,0.41840979002848827,activate
23,low_entropy_repeating,0.49998871133617184,0.03472604723199696,hybrid,retain,0.5555749236694901,activate
24,uniform_32bit,0.5449614148893033,0.0621868014469287,hybrid,retain,0.5755958386992479,activate
25,sequential_ids,0.5168757784233543,0.03331911599950615,hybrid,refresh,0.38084645871650274,recover
26,zipfian_smallints,0.43249889725447094,0.06304834620497188,hybrid,retain,0.49338978145786627,activate
27,sequential_ids,0.5220154068728697,0.006366021159617444,hybrid,refresh,0.38084645871650274,recover
28,zipfian_smallints,0.49188678011661385,0.05029250221516028,hybrid,retain,0.49338978145786627,activate
29,sequential_ids,0.40769710728057723,0.08360647538569348,hybrid,refresh,0.38084645871650274,recover
30,uniform_32bit,0.4916338105677352,0.08109260727617215,hybrid,retain,0.5755958386992479,activate
31,zipfian_smallints,0.5600889445660457,0.06803221862634878,hybrid,retain,0.49338978145786627,activate
