macro_route,policy,windows,mean_stability,mean_constraint_score,mean_regret,fallback_rate,reroute_rate
macro_0,aggressive_predictive,3440,0.5700184429422495,0.5824168752893328,0.29835843023255815,0.26046511627906976,0.5787790697674419
macro_0,cgcs_balanced,3440,0.5779428615469007,0.6097872241265422,0.11496366279069767,0.09912790697674419,0.40581395348837207
macro_0,conservative_predictive,3440,0.5630242568957379,0.6124971078474724,0.04058749999999999,0.04127906976744186,0.25
macro_0,predictive,3440,0.5790387917794588,0.603859317149798,0.14887906976744186,0.14156976744186048,0.3953488372093023
macro_0,reactive,3440,0.4963614661980635,0.5658610613358445,0.11699622093023257,0.1744186046511628,0.0
macro_1,aggressive_predictive,1320,0.6249311353493123,0.6357670943302379,0.23799621212121214,0.14166666666666666,0.6234848484848485
macro_1,cgcs_balanced,1320,0.6101205292887063,0.6447292155423592,0.10804545454545456,0.04242424242424243,0.3613636363636364
macro_1,conservative_predictive,1320,0.5827265898947668,0.6377489125120562,0.05649090909090909,0.015909090909090907,0.12803030303030302
macro_1,predictive,1320,0.6180523474705244,0.6432428519059956,0.14040075757575757,0.07348484848484849,0.40075757575757576
macro_1,reactive,1320,0.5623326505008275,0.6274322458453895,0.03560151515151515,0.030303030303030304,0.0
macro_2,aggressive_predictive,1720,0.6206277967042835,0.6377847278698996,0.21563488372093023,0.10116279069767442,0.7011627906976744
macro_2,cgcs_balanced,1720,0.6105231455414928,0.6424637976373415,0.12878255813953488,0.04302325581395349,0.5162790697674419
macro_2,conservative_predictive,1720,0.5732324478670742,0.6314719371722253,0.03950465116279069,0.01686046511627907,0.1377906976744186
macro_2,predictive,1720,0.6273370990298649,0.6484917046140857,0.14167441860465116,0.047674418604651166,0.5813953488372093
macro_2,reactive,1720,0.5339766339135859,0.6043451929861786,0.08497325581395349,0.09302325581395349,0.0
macro_3,aggressive_predictive,1720,0.5903340212213394,0.6176402687231662,0.22355000000000003,0.12267441860465116,0.7116279069767442
macro_3,cgcs_balanced,1720,0.5779096026166882,0.6281937570952593,0.08570755813953489,0.01918604651162791,0.461046511627907
macro_3,conservative_predictive,1720,0.5476944863376184,0.6189856175603755,0.03009186046511628,0.0,0.20174418604651162
macro_3,predictive,1720,0.5900026258725022,0.6278856175603755,0.12263197674418604,0.053488372093023255,0.5180232558139535
macro_3,reactive,1720,0.4913979747097115,0.5790251524440965,0.10198081395348838,0.11627906976744186,0.0
macro_4,aggressive_predictive,1400,0.5846074795992484,0.6142772253811694,0.22240000000000001,0.1742857142857143,0.5678571428571428
macro_4,cgcs_balanced,1400,0.579878908170677,0.628778653952598,0.08403285714285715,0.065,0.37142857142857144
macro_4,conservative_predictive,1400,0.5590289081706771,0.6275100825240265,0.01078785714285714,0.017857142857142856,0.1742857142857143
macro_4,predictive,1400,0.5834931938849627,0.6249743682383122,0.11419857142857144,0.1,0.37785714285714284
macro_4,reactive,1400,0.48580747959924847,0.5751857968097408,0.12843285714285715,0.17142857142857143,0.0
