window_id,macro_route,compressed_route_stability,macro_switch_rate,child_switch_rate,policy_switch_rate,macro_compression_residual,compression_quality,macro_memory_stability,macro_effective_weight,macro_member_count,coherence_component,pressure_component,reconstruction_component,memory_component,macro_cgcs_score,constraint_gate,gated_macro_route,decompression_recommended,raw_macro_changed,gated_macro_changed,raw_macro_switch_rate,gated_macro_switch_rate,gated_stability_score
0,macro_0,0.4356507220368482,0.2965706583899003,0.39507630337806154,0.45401056464734735,0.31561041160471337,0.6070802110799982,0.35,0.45,1,0.33090154970725866,0.6394429537986975,0.0844889535219232,0.0,0.29679851922769573,fallback,fallback_route,True,True,True,1.0,1.0,2.7755575615628914e-17
1,macro_3,0.14627980188755463,0.5581955232190653,0.6674608482093607,0.42298347906865646,0.009814747558370598,0.845764042092116,0.65,0.7125,1,0.3580384275284585,0.4482911565709631,0.9715297421197374,0.75,0.5927686743076356,watch,macro_3,False,True,True,1.0,1.0,0.4
2,macro_3,0.18951975496384432,0.2458599626547181,0.2562943786855527,0.6578632085758599,0.23776116531921065,0.9045483108481853,0.65,0.7125,1,0.43342645359921744,0.6485306218572878,0.3103111771044412,0.75,0.5039097085001583,watch,macro_3,True,False,False,0.6666666666666666,0.6666666666666666,0.45000000000000007
3,macro_2,0.21191406977620758,0.38221493065085477,0.9540465250030428,0.47950185496769876,0.1319873931189824,0.6624380672829384,0.55,0.625,1,0.24322162166810318,0.4505054396818872,0.6171358359761149,0.5,0.4270378864983367,fallback,fallback_route,True,True,True,0.75,0.75,0.15000000000000005
4,macro_2,0.2704955710317333,0.628002367887811,0.931987496264858,0.641026097244588,0.15289375344127704,0.7538583107693183,0.55,0.625,1,0.3552650313071008,0.29274541767873297,0.5564914367010882,0.5,0.41165197455244057,fallback,fallback_route,True,False,False,0.6,0.6,0.24000000000000002
5,macro_4,0.5219593608102187,0.8388280090266741,0.5568706664242589,0.6483010057130306,0.12946783307105636,0.7042535367766577,0.75,0.8,1,0.464420218589773,0.27929307745234055,0.6244444828753499,1.0,0.5384814665883432,watch,macro_4,False,True,True,0.6666666666666666,0.6666666666666666,0.6000000000000001
6,macro_0,0.2870137700351891,0.70219036805611,0.7108635844597683,0.2951427497271063,0.15557814545561865,0.7234648805191236,0.35,0.45,1,0.3396117233202137,0.39740323242522635,0.5487046513104805,0.0,0.3553910740960015,fallback,fallback_route,True,True,True,0.7142857142857143,0.7142857142857143,0.1714285714285714
7,macro_3,0.38193074027290985,0.0,0.01751950855003126,0.4596897190336469,0.10770519165103858,0.82534816268219,0.65,0.7125,1,0.48225698400152395,0.8806976931040804,0.6875727507904192,0.75,0.6733575553741584,watch,macro_3,False,True,True,0.75,0.75,0.55
8,macro_1,0.6838610936014917,0.626091682257565,0.3309130849336668,0.9394442349791156,0.23632401451659665,0.6115597845011524,0.44999999999999996,0.5375,1,0.4835955880127619,0.3693648288930219,0.3144800111696996,0.24999999999999992,0.37771966582014704,fallback,fallback_route,True,True,True,0.7777777777777778,0.7777777777777778,0.13333333333333333
9,macro_0,0.38587248520894335,0.5680083933081446,0.5465552699619676,0.2894801218164282,0.0834823084620222,0.8814270438357064,0.35,0.45,1,0.5317905557964937,0.5069869554013288,0.7578375973280783,0.0,0.5023328327111246,watch,macro_0,False,True,True,0.8,0.8,0.52
10,macro_2,0.5827528023240756,0.6534725713431733,0.3519667446432852,0.05083638775736721,0.21057876577433982,0.8953855069933682,0.55,0.625,1,0.6616593532700069,0.5725629312282503,0.3891608795796502,0.5,0.5470117263464775,watch,macro_2,True,True,True,0.8181818181818182,0.8181818181818182,0.359090909090909
