window_id,parent_route,child_route,updated_policy,parent_changed,child_changed,policy_changed,parent_switch_rate,child_switch_rate,policy_switch_rate,hierarchical_stability_score,route_persistence,route_pressure,forecast_next_parent_route,actual_next_parent_route,forecast_correct,stability_drop,child_policy_pressure,early_warning_score,early_warning,forecast_confidence,route_uncertainty
0,parent_0,learned_drift_prototype,prototype_recovery,True,True,True,1.0,1.0,1.0,0.0,0.9036144578313253,0.09638554216867468,parent_0,parent_0,True,0.0,1.0,0.35,False,0.9036144578313253,0.09638554216867468
1,parent_0,learned_drift_prototype,prototype_recovery,False,False,False,0.5,0.5,0.5,0.5,0.9036144578313253,0.09638554216867468,parent_0,parent_0,True,0.0,0.5,0.175,False,0.9036144578313253,0.09638554216867468
2,parent_0,learned_drift_prototype,prototype_recovery,False,False,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.9036144578313253,0.09638554216867468,parent_0,parent_0,True,0.0,0.33333333333333337,0.11666666666666667,False,0.9036144578313253,0.09638554216867468
3,parent_0,learned_drift_prototype,prototype_recovery,False,False,False,0.25,0.25,0.25,0.75,0.9036144578313253,0.09638554216867468,parent_0,parent_0,True,0.0,0.25,0.0875,False,0.9036144578313253,0.09638554216867468
4,parent_0,learned_drift_prototype,prototype_recovery,False,False,False,0.2,0.2,0.2,0.8,0.9036144578313253,0.09638554216867468,parent_0,parent_0,True,0.0,0.2,0.07,False,0.9036144578313253,0.09638554216867468
5,parent_0,learned_drift_prototype,prototype_recovery,False,False,False,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333333,0.9036144578313253,0.09638554216867468,parent_0,parent_0,True,0.0,0.16666666666666669,0.058333333333333334,False,0.9036144578313253,0.09638554216867468
6,parent_0,learned_drift_prototype,prototype_recovery,False,False,False,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8571428571428572,0.9036144578313253,0.09638554216867468,parent_0,parent_0,True,0.0,0.14285714285714285,0.049999999999999996,False,0.9036144578313253,0.09638554216867468
7,parent_0,learned_drift_prototype,prototype_recovery,False,False,False,0.125,0.125,0.125,0.875,0.9036144578313253,0.09638554216867468,parent_0,parent_0,True,0.0,0.125,0.04375,False,0.9036144578313253,0.09638554216867468
8,parent_0,learned_drift_prototype,prototype_recovery,False,False,False,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.9036144578313253,0.09638554216867468,parent_0,parent_0,True,0.0,0.1111111111111111,0.03888888888888889,False,0.9036144578313253,0.09638554216867468
9,parent_0,learned_drift_prototype,prototype_recovery,False,False,False,0.1,0.1,0.1,0.8999999999999999,0.9036144578313253,0.09638554216867468,parent_0,parent_0,True,0.0,0.1,0.035,False,0.9036144578313253,0.09638554216867468
10,parent_0,learned_drift_prototype,prototype_recovery,False,False,False,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.9090909090909092,0.9036144578313253,0.09638554216867468,parent_0,parent_0,True,0.0,0.09090909090909091,0.03181818181818182,False,0.9036144578313253,0.09638554216867468
11,parent_0,learned_drift_prototype,prototype_recovery,False,False,False,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.9166666666666666,0.9036144578313253,0.09638554216867468,parent_0,parent_0,True,0.0,0.08333333333333334,0.029166666666666667,False,0.9036144578313253,0.09638554216867468
12,parent_0,learned_drift_prototype,prototype_recovery,False,False,False,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.9230769230769231,0.9036144578313253,0.09638554216867468,parent_0,parent_0,True,0.0,0.07692307692307693,0.026923076923076925,False,0.9036144578313253,0.09638554216867468
13,parent_0,learned_drift_prototype,prototype_recovery,False,False,False,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.9285714285714286,0.9036144578313253,0.09638554216867468,parent_0,parent_0,True,0.0,0.07142857142857142,0.024999999999999998,False,0.9036144578313253,0.09638554216867468
