window,macro_route,macro_cgcs_score,rolling_stability,rolling_volatility,rolling_switch_rate,rolling_residual,rolling_pressure,decompression_event,future_decompression,macro_route_id,decompression_probability,predicted_decompression
0,macro_1,0.5298883493206734,0.5298883493206734,0.0,1.0,0.4701116506793266,0.7476100734250105,0,0,1,0.06963125295680235,0
1,macro_4,0.6226571813415601,0.5762727653311168,0.06559747020472469,1.0,0.48932470487360785,0.8889049751143131,0,0,4,0.04492491531205234,0
2,macro_3,0.6092928883887271,0.5872794730169869,0.0501493458668849,1.0,0.462869872849898,0.8277271236167236,0,0,3,0.022551472234661887,0
3,macro_2,0.5682667471432673,0.582526291548557,0.04203580454253571,1.0,0.45950951299397874,0.8089988599593119,0,0,2,0.006720469903659558,0
4,macro_0,0.5064555354909116,0.5673121403370279,0.04982578281462377,1.0,0.48251364247759587,0.8521446965015754,0,0,0,0.11053399811521407,0
5,macro_0,0.4538154360392681,0.548396022954068,0.0642884428769866,0.8333333333333334,0.5158924199229187,0.5810810194443276,0,0,0,0.11645295331513526,0
6,macro_0,0.5570064608830567,0.5496260855153521,0.0587772173858405,0.7142857142857143,0.5091511318704884,0.32033232381509036,0,0,0,0.043691652685011656,0
7,macro_4,0.6807884322322383,0.5660213788549628,0.07149593769526819,0.75,0.5054745588403053,0.41101655648250623,0,0,4,0.08110200734236248,0
8,macro_2,0.6289072957306929,0.5730087029522662,0.07008648051462397,0.7777777777777778,0.4970777775623577,0.45437147228894254,0,0,2,0.05901921947476226,0
9,macro_3,0.5027897965702279,0.5659868123140623,0.06970935162799148,0.8,0.5037225393139292,0.5073936658049707,0,0,3,0.06693063302848834,0
10,macro_0,0.6350429132115513,0.5722646396683795,0.07156538669056095,0.8181818181818182,0.49930074702218147,0.5420878121834964,0,0,0,0.03837525442308463,0
11,macro_4,0.657918180433789,0.5794024347321637,0.0748838968493519,0.8333333333333334,0.49548146211718824,0.5739846605264951,0,0,4,0.02461407410340482,0
