window,regime,regime_id,policy,macro_route,pressure,memory_quality,route_volatility,decompression_need,constraint_score,regret,route_persistence,recovery_score,recommendation_score
0,stable,0,reactive,macro_0,0.21872029028641668,0.27622536141872134,0.4144737886510089,0.31776194396716884,0.5068375443371264,0.22643184405307246,0.6269600155617993,0.2731264877031187,0.33279172844453947
0,stable,0,predictive,macro_0,0.234494550260421,0.2832939914571005,0.4791683938547337,0.18587608095239389,0.5264590696961963,0.13540509967151215,0.5633257048638313,0.5019776808195064,0.3960736573033098
0,stable,0,conservative_predictive,macro_0,0.19763721137541418,0.2483523218540103,0.2934103264334506,0.14971824332303044,0.6092296338096266,0.08540350207186623,0.7438425218446508,0.5769796639842976,0.49013059087876043
0,stable,0,aggressive_predictive,macro_0,0.2310521598156028,0.26339854465005264,0.5136563479211391,0.24696807073044874,0.5687366364665329,0.13675244681666546,0.5258534337763687,0.36279587648142875,0.3737552120751375
0,stable,0,cgcs_balanced,macro_0,0.2538264549919112,0.3032988178462131,0.3142465327694247,0.1670068300196907,0.6113071758447204,0.07602842855045072,0.7312482899075072,0.6967532202422365,0.5166264075456971
1,stable,0,reactive,macro_0,0.3136630099956071,0.6634244257130387,0.44009982883742504,0.2761376280070606,0.592263399794247,0.2073819002956749,0.6594138350195308,0.4169710233981514,0.4072001040141784
1,stable,0,predictive,macro_0,0.30490800271121843,0.7440726910216023,0.5285666814142587,0.17727928546601324,0.6645809701214712,0.1100374371466489,0.5830442222389817,0.6649695847643582,0.49343543431278436
1,stable,0,conservative_predictive,macro_0,0.3017347083772405,0.7533531790479959,0.3787681844810703,0.17736494843251996,0.6826338538741785,0.10351259080620108,0.7342347923761291,0.7482006229802945,0.5501494418418382
1,stable,0,aggressive_predictive,macro_0,0.29812991378662435,0.6922325163598528,0.5590124513075005,0.2215288055583573,0.643928526173916,0.13524064869937238,0.5448224261464774,0.5179756196142771,0.44056383175065006
1,stable,0,cgcs_balanced,macro_0,0.32280183425348163,0.7588665479648445,0.325258853749008,0.18904885350513653,0.6909419074923335,0.0770763738559939,0.7885711284457186,0.8517935210866684,0.5922514504040988
2,stable,0,reactive,macro_0,0.4812582706393829,0.6530014481538536,0.5602570553602291,0.3695825283683949,0.5589965905906492,0.26710188871350327,0.537693161862849,0.3946340011801698,0.3533564393139533
