window_id,macro_route,policy,gate,action,stability,constraint_score,policy_cost,risk,pressure,future_decompression,decompression_event,switch,switch_rate,trial,best_policy_cost,regret
0,macro_0,reactive,fallback,reactive_fallback,0.21372216393865237,0.21369946280928268,1.1027104192615313,0.7577004117911758,0.834135342215635,0,1,1,1.0,0,0.35971041926153124,0.7430000000000001
1,macro_1,reactive,watch,monitor,0.5055454176486636,0.4676919013312004,0.19833637470540091,0.7825767071212731,1.0,0,0,1,1.0,0,0.19833637470540091,0.0
2,macro_2,reactive,watch,monitor,0.4909023734183704,0.45348486213128025,0.19088876335658866,0.8168753414302558,0.9407973769104989,0,0,0,0.6666666666666666,0,0.19088876335658866,0.0
3,macro_2,reactive,watch,monitor,0.5039952021629467,0.5894539345719062,0.09544054652920211,0.5526072066522365,0.48319553589043057,0,0,0,0.5,0,0.09544054652920211,0.0
4,macro_2,reactive,watch,monitor,0.5056056161877113,0.6599593130387839,0.034072225458610245,0.40269779845182785,0.17876955157461807,0,0,0,0.4,0,0.034072225458610245,0.0
5,macro_2,reactive,watch,monitor,0.5336400647368517,0.7278380909189004,0.006212297756825441,0.35401802236257707,0.08152158588940478,0,0,0,0.3333333333333333,0,0.006212297756825441,0.0
6,macro_4,reactive,accepted,retain_compressed,0.6203053819164233,0.7426236992333537,-0.14644528614933808,0.36997597766059415,0.19823164212794456,0,0,1,0.42857142857142855,0,-0.14644528614933808,0.0
7,macro_0,reactive,watch,monitor,0.559709184795085,0.6687161194811388,0.035107016902305443,0.4033756794352789,0.26509886170415464,0,0,1,0.5,0,0.035107016902305443,0.0
8,macro_3,reactive,watch,monitor,0.5677662075089923,0.6688804982635151,0.04740650781460787,0.3793993686152066,0.3386818503365278,0,0,0,0.4444444444444444,0,0.04740650781460787,0.0
9,macro_3,reactive,watch,monitor,0.5730303319027756,0.7094105134204377,0.013197388133197457,0.5559306855321712,0.17553243852015074,0,0,0,0.4,0,0.013197388133197457,0.0
10,macro_3,reactive,watch,monitor,0.5814438232896691,0.7512344496851101,-0.012866085336917882,0.3628549994239613,0.057835308249914355,0,0,0,0.36363636363636365,0,-0.012866085336917882,0.0
11,macro_1,reactive,watch,monitor,0.5908538027156741,0.751792647895045,-0.008518870037446002,0.3078965943622763,0.0936863538862811,0,0,0,0.3333333333333333,0,-0.17651887003744599,0.16799999999999998
12,macro_4,reactive,accepted,retain_compressed,0.6780168458573446,0.7688076938991043,-0.15993722913994482,0.16643137878223543,0.2173391230862927,0,0,1,0.38461538461538464,0,-0.15993722913994482,0.0
13,macro_0,reactive,watch,monitor,0.621818222444041,0.7254531617542691,0.00175146550931074,0.4481484076648595,0.1914846612126152,0,0,1,0.42857142857142855,0,0.00175146550931074,0.0
14,macro_3,reactive,watch,monitor,0.6227444450812134,0.6820692656868738,0.012436429408741845,0.26080564063564926,0.24629881466552925,0,0,0,0.4,0,0.012436429408741845,0.0
15,macro_2,reactive,watch,monitor,0.6336032858194452,0.7303932101287167,0.0061302619742887865,0.41879387817664926,0.23105623860061175,0,0,0,0.3333333333333333,0,0.0061302619742887865,0.0
16,macro_0,reactive,watch,monitor,0.6398374691907921,0.7215265063673897,-0.0005272600712268594,0.34425350371620994,0.20711990343005382,0,0,0,0.26666666666666666,0,-0.0005272600712268594,0.0
17,macro_0,reactive,watch,monitor,0.6340526301622283,0.7483445436140079,-0.01929150402559565,0.4049102234601521,0.10462142511536429,0,0,0,0.26666666666666666,0,-0.01929150402559565,0.0
18,macro_1,reactive,accepted,retain_compressed,0.6934963925481599,0.7651028969452515,-0.16403280032523276,0.26774815878888025,0.2200805871960759,0,0,1,0.3333333333333333,0,-0.16403280032523276,0.0
19,macro_0,reactive,accepted,retain_compressed,0.7085287260832527,0.740700332588574,-0.14064188237050118,0.3123618116675215,0.3595836772723731,0,0,0,0.3333333333333333,0,-0.14064188237050118,0.0
20,macro_2,reactive,watch,monitor,0.6471930649700097,0.657465661463215,0.05556244506664182,0.36829309964539,0.4986018227882237,0,0,1,0.4,0,0.05556244506664182,0.0
21,macro_1,reactive,accepted,retain_compressed,0.7142213743959789,0.7142294620523115,-0.12433959582457671,0.3983317537284422,0.44963408247108466,0,0,1,0.4,0,-0.12433959582457671,0.0
22,macro_3,reactive,watch,monitor,0.6516512992616993,0.6774511188712619,0.04263018457578438,0.6300389186511393,0.4406278717714708,0,0,1,0.4,0,0.04263018457578438,0.0
23,macro_1,reactive,watch,monitor,0.6486517797545316,0.6799280602717835,0.04436968214817849,0.5204857539326085,0.4448260803726899,0,0,0,0.4,0,0.04436968214817849,0.0
24,macro_0,reactive,watch,monitor,0.6334171117321677,0.6525096686615651,0.0529586337646441,0.4927105244079126,0.4649188364214721,0,0,0,0.4,0,0.0529586337646441,0.0
25,macro_3,reactive,watch,monitor,0.6388555711839901,0.6403810541097192,0.08059174074724854,0.6801753983402465,0.6112420605122276,0,0,0,0.4,0,0.08059174074724854,0.0
26,macro_3,reactive,watch,monitor,0.6431654308992104,0.6229477908874148,0.06841695961789218,0.5266240859942324,0.5568329444382766,0,0,0,0.4,0,0.06841695961789218,0.0
27,macro_0,reactive,watch,monitor,0.6345229773665526,0.6302113277295338,0.06970065094187414,0.6076335089709051,0.5502877207591995,0,0,0,0.3333333333333333,0,0.06970065094187414,0.0
28,macro_2,reactive,watch,monitor,0.6382226070274591,0.6425219767095858,0.06974735536069035,0.42852377399535924,0.5560706873446403,0,0,0,0.26666666666666666,0,0.06974735536069035,0.0
29,macro_1,reactive,watch,monitor,0.527083851009052,0.561801920539176,0.20641680729586442,0.4530486422004027,0.5727098129929001,1,0,0,0.26666666666666666,0,0.18841680729586444,0.017999999999999988
30,macro_4,reactive,watch,monitor,0.5151207816351062,0.5781519068638452,0.20899138632365535,0.6501526707307751,0.567638104070936,1,0,0,0.26666666666666666,0,0.20899138632365535,0.0
31,macro_2,reactive,watch,monitor,0.5011417521461574,0.5716811942524046,0.21358595220091078,0.4335081572408176,0.5696423892237901,1,0,0,0.26666666666666666,0,0.19558595220091082,0.01799999999999996
32,macro_0,reactive,watch,monitor,0.49889193119664,0.5434318297820292,0.23950383151304933,0.7394585407332249,0.6958570543602065,1,0,0,0.26666666666666666,0,0.23950383151304933,0.0
33,macro_4,reactive,watch,monitor,0.49468428079532467,0.5522779486544135,0.24275218425120354,0.6150034537071921,0.7057873424490047,1,0,0,0.2,0,0.22775218425120355,0.014999999999999986
34,macro_0,reactive,fallback,reactive_fallback,0.24999227671022803,0.2189274240069239,1.1840073121728398,0.8857221448580833,0.7950249759295402,1,1,1,0.26666666666666666,0,1.1300073121728398,0.05400000000000005
35,macro_3,reactive,watch,monitor,0.4532613285164444,0.47307166776479803,0.2738235665969405,0.6870898599640995,0.7990098257593691,1,0,1,0.26666666666666666,0,0.2738235665969405,0.0
36,macro_0,reactive,fallback,reactive_fallback,0.2186850508332788,0.22149724186439818,1.191487480832722,0.7265501564269533,0.785464980413528,1,1,1,0.26666666666666666,0,0.42748748083272203,0.764
37,macro_0,reactive,watch,monitor,0.4197301138970627,0.4698636849191732,0.27622964803641203,0.8161631242449532,0.7607434110276542,1,0,1,0.26666666666666666,0,0.27622964803641203,0.0
