window_id,dominant_truth_regime,estimated_dominant_regime,mixture_policy,mixture_entropy,reconstruction_residual,residual_roll_mean,residual_roll_std,entropy_roll_mean,entropy_roll_std,residual_z,entropy_z,policy_changed,dominant_regime_changed,policy_switch_rate,dominant_switch_rate,residual_drift_component,entropy_drift_component,drift_score,drift_warning,drift_alarm,unknown_regime_candidate,drift_episode_id
0,low_entropy_repeating,low_entropy_repeating,coherent_local,0.7588044502526612,0.039570756196316476,0.039570756196316476,0.03919831557700969,0.7588044502526612,0.4222187137973044,0.0,0.0,True,True,1.0,1.0,0.0,0.0,0.35,True,False,False,
1,low_entropy_repeating,low_entropy_repeating,coherent_local,0.5037101471769257,0.04910847074586821,0.044339613471092346,0.03919831557700969,0.6312572987147935,0.4222187137973044,0.1216597469283377,-0.3020878683672268,False,False,0.5,0.5,0.030414936732084424,0.0,0.18716597469283378,False,False,False,
2,low_entropy_repeating,low_entropy_repeating,coherent_local,0.9614520741437971,0.03691760604750929,0.04186561099656466,0.03919831557700969,0.7413222238577947,0.4222187137973044,-0.12623003692861245,0.5213645027356987,False,False,0.3333333333333333,0.3333333333333333,0.0,0.13034112568392467,0.14925194808764783,False,False,False,
3,low_entropy_repeating,low_entropy_repeating,coherent_local,1.296231432961592,0.022204341086396302,0.03695029351902257,0.03919831557700969,0.880049526133744,0.4222187137973044,-0.37618841114403767,0.9857021781415954,False,False,0.25,0.25,0.0,0.24642554453539886,0.14910638613384972,False,False,False,
4,low_entropy_repeating,low_entropy_repeating,coherent_local,1.3656275379510494,0.03599046046341824,0.036758326907901706,0.03919831557700969,0.9771651284972052,0.4222187137973044,-0.019589270956952943,0.9200501916177125,False,False,0.2,0.2,0.0,0.23001254790442813,0.12750313697610705,False,False,False,
5,low_entropy_repeating,low_entropy_repeating,coherent_local,1.1532502195430998,0.02211061305675143,0.036758326907901706,0.009654912005480078,0.9771651284972052,0.3622134230742849,-1.5171254099168279,0.4861362924246067,False,False,0.16666666666666666,0.16666666666666666,0.0,0.12153407310615168,0.08871685160987125,False,False,False,
6,low_entropy_repeating,low_entropy_repeating,coherent_local,1.0360207449238492,0.048176754519609094,0.034317041266043326,0.010503957072347256,1.0065126436715208,0.3318531466862909,1.319475302367484,0.08891915432492187,False,False,0.14285714285714285,0.14285714285714285,0.329868825591871,0.022229788581230467,0.18750497738205604,False,False,False,
7,low_entropy_repeating,low_entropy_repeating,coherent_local,1.3923115748287285,0.024786056833940882,0.036297000302267006,0.010926386699665551,1.0107280867075679,0.30314432567880684,-1.0534994533168969,1.2587518701132185,False,False,0.125,0.125,0.0,0.31468796752830464,0.12242199188207616,False,False,False,
8,low_entropy_repeating,low_entropy_repeating,coherent_local,0.9514026058632957,0.028575082667553396,0.034858132368726244,0.01090383058479512,1.058426022722713,0.3113987124373382,-0.5762240229328437,-0.3436861240627867,False,False,0.1111111111111111,0.1111111111111111,0.0,0.0,0.03888888888888889,False,False,False,
9,low_entropy_repeating,low_entropy_repeating,coherent_local,1.1655651312468769,0.04048166096546118,0.03416001573526259,0.010412402832653081,1.0465345319605555,0.29346325377651,0.6071263976886915,0.40560648513549136,False,False,0.1,0.1,0.15178159942217287,0.10140162128387284,0.12106304508983737,False,False,False,
10,low_entropy_repeating,low_entropy_repeating,coherent_local,0.9362037954123077,0.06712471401305692,0.03479218025828245,0.010018382773517326,1.0584375918891875,0.279228481861994,3.2273203428523614,-0.4377554725937206,False,False,0.09090909090909091,0.09090909090909091,0.8068300857130903,0.0,0.35455021610341797,True,False,False,
11,low_entropy_repeating,low_entropy_repeating,coherent_local,1.2224742383211389,0.022793409076281836,0.03773150150871649,0.013614951252311644,1.0473254285731075,0.2674508786372819,-1.0971828733294575,0.6548821599897857,False,False,0.08333333333333333,0.08333333333333333,0.0,0.16372053999744643,0.07009680166602827,False,False,False,
12,sequential_ids,sequential_ids,hybrid,0.8147561864504922,0.03329078813517688,0.03648666047268027,0.013678849071362258,1.0619211627187768,0.2599686003647504,-0.2336360381779604,-0.9507493403847581,True,True,0.15384615384615385,0.15384615384615385,0.0,0.0,0.05384615384615385,False,False,False,
13,sequential_ids,sequential_ids,hybrid,1.2581111679369639,0.04475889181737052,0.03624082413902616,0.013126461726691399,1.042908472236601,0.25816849459761076,0.6489233128300198,0.8335745816010959,False,False,0.14285714285714285,0.14285714285714285,0.16223082820750495,0.20839364540027397,0.16699074263307048,False,False,False,
14,sequential_ids,sequential_ids,hybrid,1.2020831951254547,0.017432072444561946,0.03684925754462219,0.01281532366887317,1.0582800933580556,0.2546212640173999,-1.5151535838356225,0.5647725525107735,False,False,0.13333333333333333,0.13333333333333333,0.0,0.14119313812769338,0.08196495119859001,False,False,False,
15,sequential_ids,sequential_ids,hybrid,1.0826720265594039,0.0384824198460008,0.035554778537951505,0.013328044300654936,1.0678669668092156,0.24815268271009464,0.21966021588367748,0.0596610906190496,False,False,0.06666666666666667,0.06666666666666667,0.05491505397091937,0.0149152726547624,0.04902817308539169,False,False,False,
16,sequential_ids,sequential_ids,hybrid,1.112606753656911,0.04807143166922285,0.0354822227812638,0.013307566994361218,1.0894581385629984,0.23296588120756664,0.9460187536365356,0.09936482919540902,False,False,0.06666666666666667,0.06666666666666667,0.2365046884091339,0.024841207298852256,0.12414551052169996,False,False,False,
