trial,policy,mean_stability,mean_constraint_score,mean_cost,mean_regret,fallback_rate,reroute_rate,mean_switch_rate
0,aggressive_predictive,0.598535139651401,0.6171313333729395,0.3355201582840073,0.23424999999999999,0.15416666666666667,0.6583333333333333,0.4195012279387279
0,cgcs_balanced,0.5890768063180676,0.6283480000396062,0.20023265828400724,0.0989625,0.05416666666666667,0.42083333333333334,0.45609690078440074
0,conservative_predictive,0.5633268063180678,0.6236730000396061,0.1287909916173406,0.02752083333333333,0.016666666666666666,0.175,0.3250687738187738
0,predictive,0.592660139651401,0.6229063333729395,0.24040765828400726,0.1391375,0.1,0.42916666666666664,0.47415245633995634
0,reactive,0.5097434729847343,0.5853646667062729,0.2004909916173406,0.09922083333333334,0.12916666666666668,0.0,0.2590965515965516
1,aggressive_predictive,0.5922018063180676,0.6110365757948187,0.34410263101317057,0.24424583333333333,0.17083333333333334,0.6166666666666667,0.4614456723831724
1,cgcs_balanced,0.5888268063180677,0.6278115757948188,0.1974067976798372,0.09755,0.05,0.4166666666666667,0.4620956820956821
1,conservative_predictive,0.5642018063180676,0.6223365757948188,0.13687763101317055,0.03702083333333333,0.020833333333333332,0.19166666666666668,0.3850817932067932
1,predictive,0.5977434729847343,0.6263782424614855,0.23202346434650387,0.13216666666666665,0.08333333333333333,0.4583333333333333,0.4552635674510675
1,reactive,0.5097434729847343,0.5843032424614855,0.20134013101317055,0.10148333333333334,0.12916666666666668,0.0,0.2590965515965516
2,aggressive_predictive,0.5899518063180677,0.6080064730164512,0.3607317132358646,0.2590708333333333,0.1875,0.6208333333333333,0.4364456723831724
2,cgcs_balanced,0.5863268063180677,0.6246814730164513,0.21036087990253127,0.1087,0.06666666666666667,0.4083333333333333,0.4549363946238946
2,conservative_predictive,0.5667018063180678,0.6243314730164512,0.1358317132358646,0.03417083333333333,0.016666666666666666,0.2125,0.35847806129056126
2,predictive,0.5964934729847343,0.6262481396831178,0.22897754656919792,0.12731666666666666,0.08333333333333333,0.44583333333333336,0.4710969007844008
2,reactive,0.5097434729847343,0.5846731396831178,0.2010442132358646,0.09938333333333334,0.12916666666666668,0.0,0.2590965515965516
3,aggressive_predictive,0.5937434729847343,0.6116050326707807,0.35088703217906764,0.24987916666666668,0.175,0.6375,0.41380027380027384
3,cgcs_balanced,0.5917434729847344,0.6295550326707808,0.2019036988457343,0.10089583333333334,0.05,0.44583333333333336,0.46104750573500575
